it, train, val, acc 
12276, 0.257034, 0.222435, 0.101562 
12307, 0.211673, 0.227768, 0.132812 
12338, 0.251180, 0.258449, 0.171875 
12369, 0.245492, 0.225160, 0.125000 
12400, 0.243604, 0.228174, 0.171875 
12431, 0.242112, 0.216376, 0.117188 
12462, 0.246027, 0.217020, 0.117188 
12493, 0.259712, 0.231077, 0.125000 
12524, 0.258684, 0.239005, 0.156250 
12555, 0.242629, 0.229618, 0.132812 
12586, 0.262432, 0.228175, 0.132812 
12617, 0.253487, 0.230192, 0.164062 
12648, 0.234626, 0.241454, 0.125000 
12679, 0.254056, 0.236443, 0.156250 
12710, 0.252446, 0.255997, 0.101562 
12741, 0.295767, 0.232581, 0.140625 
12772, 0.255139, 0.219437, 0.171875 
12803, 0.219469, 0.224836, 0.132812 
12834, 0.229449, 0.228356, 0.140625 
12865, 0.254776, 0.222705, 0.179688 
12896, 0.244950, 0.245623, 0.156250 
12927, 0.271882, 0.242040, 0.085938 
12958, 0.244611, 0.241312, 0.132812 
12989, 0.229807, 0.221209, 0.125000 
13020, 0.226923, 0.201777, 0.125000 
13051, 0.241995, 0.243581, 0.132812 
13082, 0.254754, 0.235430, 0.125000 
13113, 0.231897, 0.213719, 0.132812 
13144, 0.234209, 0.209347, 0.109375 
13175, 0.268343, 0.230356, 0.117188 
13206, 0.259991, 0.206990, 0.117188 
13237, 0.242471, 0.213182, 0.125000 
13268, 0.248300, 0.247539, 0.101562 
13299, 0.274538, 0.236904, 0.085938 
13330, 0.233480, 0.235779, 0.117188 
13361, 0.253522, 0.230403, 0.101562 
13392, 0.264962, 0.224385, 0.085938 
13423, 0.263203, 0.218817, 0.109375 
13454, 0.237855, 0.246383, 0.085938 
13485, 0.238419, 0.220312, 0.109375 
13516, 0.216586, 0.205207, 0.109375 
13547, 0.237628, 0.222547, 0.085938 
13578, 0.242280, 0.208242, 0.117188 
13609, 0.231839, 0.234548, 0.164062 
13640, 0.243009, 0.223727, 0.062500 
13671, 0.215275, 0.234510, 0.109375 
13702, 0.258665, 0.229890, 0.109375 
13733, 0.233446, 0.225021, 0.132812 
13764, 0.249081, 0.226679, 0.085938 
13795, 0.247820, 0.210395, 0.125000 
13826, 0.200133, 0.243103, 0.117188 
13857, 0.253462, 0.204944, 0.156250 
13888, 0.223187, 0.192962, 0.093750 
13919, 0.251367, 0.239878, 0.109375 
13950, 0.222585, 0.205906, 0.117188 
13981, 0.259221, 0.220752, 0.085938 
14012, 0.224649, 0.216460, 0.062500 
14043, 0.241007, 0.221063, 0.101562 
14074, 0.236692, 0.201488, 0.156250 
14105, 0.280703, 0.193008, 0.109375 
14136, 0.221549, 0.211183, 0.070312 
14167, 0.253322, 0.239759, 0.132812 
14198, 0.225859, 0.212616, 0.101562 
14229, 0.229742, 0.203434, 0.093750 
14260, 0.222877, 0.204281, 0.078125 
14291, 0.217271, 0.220709, 0.046875 
14322, 0.239472, 0.198514, 0.125000 
14353, 0.227847, 0.215383, 0.132812 
14384, 0.228913, 0.209018, 0.070312 
14415, 0.227615, 0.212463, 0.093750 
14446, 0.221950, 0.209709, 0.140625 
14477, 0.234460, 0.224584, 0.148438 
14508, 0.219073, 0.211229, 0.171875 
14539, 0.251007, 0.208667, 0.117188 
14570, 0.242372, 0.201792, 0.062500 
14601, 0.231196, 0.207858, 0.109375 
14632, 0.239352, 0.247102, 0.093750 
14663, 0.229459, 0.226898, 0.132812 
14694, 0.230849, 0.235420, 0.164062 
14725, 0.223635, 0.202942, 0.109375 
14756, 0.229834, 0.198598, 0.125000 
14787, 0.234090, 0.203147, 0.117188 
14818, 0.247983, 0.194651, 0.085938 
14849, 0.227515, 0.197929, 0.093750 
14880, 0.238335, 0.215206, 0.156250 
14911, 0.217066, 0.198223, 0.140625 
14942, 0.217172, 0.219870, 0.101562 
14973, 0.218344, 0.234411, 0.101562 
15004, 0.205033, 0.220501, 0.117188 
15035, 0.247544, 0.234362, 0.125000 
15066, 0.232041, 0.204130, 0.125000 
15097, 0.217004, 0.199816, 0.093750 
15128, 0.228156, 0.178033, 0.117188 
15159, 0.229290, 0.220340, 0.140625 
15190, 0.218823, 0.223267, 0.062500 
15221, 0.217913, 0.187696, 0.085938 
15252, 0.222585, 0.222308, 0.093750 
15283, 0.214873, 0.250733, 0.101562 
15314, 0.218349, 0.194852, 0.101562 
15345, 0.191601, 0.208665, 0.101562 
15376, 0.198103, 0.207796, 0.109375 
15407, 0.207765, 0.193120, 0.109375 
15438, 0.221498, 0.210609, 0.117188 
15469, 0.222371, 0.222756, 0.140625 
15500, 0.230289, 0.225487, 0.109375 
15531, 0.222420, 0.184799, 0.101562 
15562, 0.223700, 0.212775, 0.085938 
15593, 0.241317, 0.195272, 0.109375 
15624, 0.227051, 0.200224, 0.117188 
15655, 0.221237, 0.188459, 0.117188 
15686, 0.218823, 0.203351, 0.171875 
15717, 0.239317, 0.215246, 0.062500 
15748, 0.228829, 0.214647, 0.062500 
15779, 0.194718, 0.227136, 0.117188 
15810, 0.226806, 0.190719, 0.039062 
15841, 0.222429, 0.182803, 0.101562 
15872, 0.216992, 0.185961, 0.062500 
15903, 0.221197, 0.220448, 0.093750 
15934, 0.241075, 0.202642, 0.109375 
15965, 0.208406, 0.193160, 0.117188 
15996, 0.220099, 0.205971, 0.062500 
16027, 0.209674, 0.262114, 0.101562 
16058, 0.200814, 0.213572, 0.171875 
16089, 0.214574, 0.210785, 0.070312 
16120, 0.209568, 0.191708, 0.117188 
16151, 0.210194, 0.196912, 0.101562 
16182, 0.202814, 0.202512, 0.101562 
16213, 0.226341, 0.201461, 0.140625 
16244, 0.222062, 0.195279, 0.117188 
16275, 0.209131, 0.205564, 0.148438 
16306, 0.202110, 0.199621, 0.132812 
16337, 0.209561, 0.206185, 0.109375 
16368, 0.228772, 0.191969, 0.070312 
16399, 0.205259, 0.214838, 0.085938 
16430, 0.225712, 0.209309, 0.117188 
16461, 0.218078, 0.200897, 0.132812 
16492, 0.219170, 0.183334, 0.085938 
16523, 0.236201, 0.187017, 0.117188 
16554, 0.215449, 0.186994, 0.101562 
16585, 0.219011, 0.183327, 0.132812 
16616, 0.216980, 0.204601, 0.062500 
16647, 0.236100, 0.203685, 0.085938 
16678, 0.218997, 0.197166, 0.125000 
16709, 0.213425, 0.188473, 0.085938 
16740, 0.215287, 0.201826, 0.132812 
16771, 0.214218, 0.183540, 0.148438 
16802, 0.203494, 0.187668, 0.093750 
16833, 0.195498, 0.177495, 0.101562 
16864, 0.199494, 0.180674, 0.093750 
16895, 0.200945, 0.184783, 0.117188 
16926, 0.216616, 0.210927, 0.117188 
16957, 0.211380, 0.194334, 0.101562 
16988, 0.212319, 0.186138, 0.117188 
17019, 0.207887, 0.203122, 0.078125 
17050, 0.207060, 0.209045, 0.140625 
17081, 0.203278, 0.188707, 0.148438 
17112, 0.205190, 0.199827, 0.101562 
17143, 0.202094, 0.206376, 0.117188 
17174, 0.203099, 0.187816, 0.078125 
17205, 0.209148, 0.195856, 0.062500 
17236, 0.206478, 0.178548, 0.093750 
17267, 0.190979, 0.196017, 0.093750 
17298, 0.221039, 0.180871, 0.093750 
17329, 0.215298, 0.199666, 0.093750 
17360, 0.202709, 0.212257, 0.101562 
17391, 0.196130, 0.211540, 0.140625 
17422, 0.215562, 0.212934, 0.117188 
17453, 0.189574, 0.181461, 0.093750 
17484, 0.192558, 0.197120, 0.093750 
17515, 0.208438, 0.169582, 0.101562 
17546, 0.186366, 0.183125, 0.078125 
17577, 0.185049, 0.225809, 0.132812 
17608, 0.207587, 0.170247, 0.132812 
17639, 0.216940, 0.203720, 0.085938 
17670, 0.189035, 0.202936, 0.070312 
17701, 0.214440, 0.176809, 0.101562 
17732, 0.231326, 0.171567, 0.125000 
17763, 0.187151, 0.177486, 0.140625 
17794, 0.189514, 0.181770, 0.132812 
17825, 0.214918, 0.204841, 0.093750 
17856, 0.203426, 0.213874, 0.125000 
17887, 0.203038, 0.208059, 0.070312 
17918, 0.209138, 0.197912, 0.070312 
17949, 0.188987, 0.179541, 0.148438 
17980, 0.185624, 0.250372, 0.148438 
18011, 0.191885, 0.169338, 0.085938 
18042, 0.191652, 0.181598, 0.132812 
18073, 0.208220, 0.181869, 0.062500 
18104, 0.215671, 0.202119, 0.101562 
18135, 0.194977, 0.194314, 0.093750 
18166, 0.212694, 0.201255, 0.093750 
18197, 0.197654, 0.191223, 0.117188 
18228, 0.233979, 0.212641, 0.140625 
18259, 0.191483, 0.180469, 0.101562 
18290, 0.199849, 0.163784, 0.078125 
18321, 0.218693, 0.189580, 0.109375 
18352, 0.196427, 0.186302, 0.132812 
18383, 0.178672, 0.192022, 0.085938 
18414, 0.200229, 0.211624, 0.101562 
18445, 0.176282, 0.171860, 0.078125 
18476, 0.185014, 0.183395, 0.101562 
18507, 0.198809, 0.197068, 0.148438 
18538, 0.219591, 0.189812, 0.109375 
18569, 0.217813, 0.198280, 0.132812 
18600, 0.217537, 0.184176, 0.132812 
18631, 0.227097, 0.203230, 0.148438 
18662, 0.213029, 0.178208, 0.093750 
18693, 0.205096, 0.186980, 0.101562 
18724, 0.206793, 0.170609, 0.148438 
18755, 0.214099, 0.184277, 0.117188 
18786, 0.181596, 0.173964, 0.117188 
18817, 0.209400, 0.193902, 0.109375 
18848, 0.191653, 0.174254, 0.117188 
18879, 0.218527, 0.181421, 0.078125 
18910, 0.179284, 0.177161, 0.062500 
18941, 0.227262, 0.184232, 0.171875 
18972, 0.211495, 0.198907, 0.101562 
19003, 0.192141, 0.191195, 0.171875 
19034, 0.191601, 0.192684, 0.101562 
19065, 0.204633, 0.171102, 0.132812 
19096, 0.202358, 0.185599, 0.171875 
19127, 0.192999, 0.179885, 0.117188 
19158, 0.203712, 0.166621, 0.148438 
19189, 0.206908, 0.198315, 0.164062 
19220, 0.216489, 0.175715, 0.140625 
19251, 0.223614, 0.170731, 0.125000 
19282, 0.213147, 0.171461, 0.148438 
19313, 0.211714, 0.193479, 0.085938 
19344, 0.198353, 0.177442, 0.101562 
19375, 0.216370, 0.188432, 0.156250 
19406, 0.191752, 0.160202, 0.140625 
19437, 0.197427, 0.183815, 0.093750 
19468, 0.191101, 0.174661, 0.109375 
19499, 0.184165, 0.196513, 0.132812 
19530, 0.190963, 0.191108, 0.156250 
19561, 0.209594, 0.191008, 0.117188 
19592, 0.205547, 0.170659, 0.125000 
19623, 0.201242, 0.174776, 0.132812 
19654, 0.198460, 0.175817, 0.179688 
19685, 0.209378, 0.184081, 0.117188 
